geoid,geoid20,year,denom_all_households,eli_count,eli_pct,vli_count,vli_pct,li_count,li_pct,mi_count,mi_pct,abmi_count,abmi_pct
1400000US06037301501,6037301501,2018,559.0,85.0,15.205725,110.0,19.677996,165.0,29.516994,209.0,37.388195,350.0,62.611805
1400000US06037910212,6037910212,2013,1211.0,80.0,6.6061106,181.0,14.946325,358.0,29.562346,466.0,38.480595,744.0,61.436829
1400000US06037432700,6037432700,2015,1342.0,381.0,28.390463,772.0,57.526081,1039.0,77.421761,1158.0,86.289124,183.0,13.636364
1400000US06037234001,6037234001,2019,1104.0,262.0,23.731884,472.0,42.753624,638.0,57.789856,747.0,67.66304,357.0,32.336956
1400000US06037540700,6037540700,2014,733.0,139.0,18.963165,309.0,42.155525,534.0,72.851295,548.0,74.761253,185.0,25.238745
1400000US06037292002,6037292002,2013,220.0,58.0,26.363636,104.0,47.272728,158.0,71.818184,173.0,78.63636,47.0,21.363636
1400000US06037980001,6037980001,2018,,,,,,,,,,,
1400000US06037543321,6037543321,2015,1546.0,91.0,5.886158,222.0,14.359638,436.0,28.201811,628.0,40.620956,919.0,59.443726
1400000US06037570601,6037570601,2019,1535.0,340.0,22.149837,785.0,51.140064,1060.0,69.055374,1290.0,84.039085,245.0,15.960912
1400000US06037602104,6037602104,2018,1736.0,467.0,26.900921,727.0,41.87788,1289.0,74.251152,1410.0,81.221199,326.0,18.778801
1400000US06037217101,6037217101,2016,1036.0,185.0,17.857143,282.0,27.220078,522.0,50.386101,630.0,60.81081,406.0,39.18919
1400000US06037121020,6037121020,2015,990.0,185.0,18.686869,360.0,36.363636,550.0,55.555557,725.0,73.232323,265.0,26.767677
1400000US06037294301,6037294301,2015,675.0,70.0,10.37037,175.0,25.925926,340.0,50.370369,410.0,60.740742,265.0,39.259258
1400000US06037502200,6037502200,2014,1735.0,192.0,11.066282,443.0,25.533142,941.0,54.236313,1202.0,69.279541,532.0,30.662825
1400000US06037297501,6037297501,2017,1100.0,94.0,8.545455,149.0,13.545455,298.0,27.09091,408.0,37.090908,693.0,63.0
1400000US06037576700,6037576700,2014,2245.0,165.0,7.3496661,415.0,18.485523,690.0,30.734966,950.0,42.316257,1295.0,57.683743
1400000US06037134424,6037134424,2018,937.0,50.0,5.3361793,89.0,9.4983988,148.0,15.795091,202.0,21.558165,735.0,78.441833
1400000US06037240020,6037240020,2016,1274.0,390.0,30.612246,755.0,59.262165,1075.0,84.379906,1180.0,92.621666,94.0,7.378336
1400000US06037572301,6037572301,2017,970.0,118.0,12.164948,348.0,35.876289,565.0,58.247421,685.0,70.618553,285.0,29.381443
1400000US06037297001,6037297001,2015,1041.0,114.0,10.951009,209.0,20.076849,401.0,38.520653,451.0,43.323727,591.0,56.772335
1400000US06037552900,6037552900,2015,1775.0,330.0,18.591549,635.0,35.774647,970.0,54.647888,1275.0,71.830986,500.0,28.169014
1400000US06037205120,6037205120,2018,965.0,400.0,41.450779,665.0,68.911919,820.0,84.974091,885.0,91.709846,80.0,8.2901554
1400000US06037570203,6037570203,2019,1199.0,324.0,27.022518,719.0,59.96664,994.0,82.90242,1084.0,90.408676,115.0,9.5913258
1400000US06037101300,6037101300,2013,1530.0,140.0,9.1503267,220.0,14.379085,480.0,31.372549,655.0,42.810459,875.0,57.189541
1400000US06037570305,6037570305,2017,1379.0,438.0,31.762146,821.0,59.535896,1042.0,75.562004,1106.0,80.203049,273.0,19.796955
1400000US06037501301,6037501301,2017,1048.0,99.0,9.4465647,265.0,25.286259,437.0,41.698475,693.0,66.125954,355.0,33.874046
1400000US06037201602,6037201602,2016,805.0,170.0,21.118011,315.0,39.130436,480.0,59.627331,540.0,67.080742,265.0,32.919254
1400000US06037502004,6037502004,2017,965.0,125.0,12.953368,330.0,34.196892,590.0,61.139896,705.0,73.056992,260.0,26.943005
1400000US06037602602,6037602602,2015,967.0,145.0,14.994829,317.0,32.781799,569.0,58.841778,647.0,66.907959,320.0,33.092037
1400000US06037542602,6037542602,2019,1417.0,349.0,24.629499,609.0,42.978123,998.0,70.430489,1248.0,88.073395,170.0,11.997177
1400000US06037480901,6037480901,2016,1590.0,380.0,23.89937,635.0,39.937107,940.0,59.119495,1055.0,66.352203,535.0,33.6478
1400000US06037214504,6037214504,2017,1283.0,228.0,17.770849,402.0,31.332813,583.0,45.440372,661.0,51.519875,622.0,48.480125
1400000US06037218300,6037218300,2015,2135.0,775.0,36.299767,1020.0,47.775177,1535.0,71.896957,1745.0,81.733025,390.0,18.266979
1400000US06037222001,6037222001,2013,860.0,235.0,27.325581,390.0,45.348839,485.0,56.395348,580.0,67.441864,280.0,32.55814
1400000US06037191120,6037191120,2017,1625.0,490.0,30.153847,955.0,58.76923,1240.0,76.307693,1355.0,83.384613,270.0,16.615385
1400000US06037400404,6037400404,2013,1380.0,40.0,2.8985507,235.0,17.028986,400.0,28.985508,520.0,37.68116,860.0,62.31884
1400000US06037128400,6037128400,2017,1675.0,200.0,11.940298,425.0,25.373135,745.0,44.477612,890.0,53.134327,785.0,46.865673
1400000US06037302104,6037302104,2018,1425.0,324.0,22.736841,533.0,37.403507,752.0,52.771931,872.0,61.192982,553.0,38.807018
1400000US06037106112,6037106112,2019,1433.0,229.0,15.98046,398.0,27.773901,576.0,40.195393,840.0,58.618282,593.0,41.381718
1400000US06037137502,6037137502,2013,1680.0,140.0,8.333333,225.0,13.392858,560.0,33.333332,695.0,41.369049,985.0,58.630951
1400000US06037264305,6037264305,2016,2283.0,235.0,10.293473,386.0,16.907578,685.0,30.004379,844.0,36.968899,1440.0,63.074902
1400000US06037571400,6037571400,2017,1521.0,187.0,12.294543,410.0,26.95595,599.0,39.381985,716.0,47.074295,804.0,52.859959
1400000US06037221500,6037221500,2017,1204.0,560.0,46.511627,720.0,59.800663,1000.0,83.05648,1054.0,87.541527,150.0,12.458471
1400000US06037291120,6037291120,2016,614.0,170.0,27.687296,315.0,51.302933,465.0,75.732903,494.0,80.456024,120.0,19.543974
1400000US06037530006,6037530006,2018,1490.0,250.0,16.778524,480.0,32.214764,750.0,50.335571,1000.0,67.114098,490.0,32.885906
1400000US06037430302,6037430302,2018,2255.0,260.0,11.529934,460.0,20.399113,860.0,38.137474,1050.0,46.563194,1205.0,53.436806
1400000US06037573004,6037573004,2018,1630.0,520.0,31.90184,740.0,45.398773,1160.0,71.165642,1275.0,78.220856,355.0,21.77914
1400000US06037123203,6037123203,2017,1125.0,330.0,29.333334,645.0,57.333332,955.0,84.888885,1010.0,89.777779,115.0,10.222222
1400000US06037404503,6037404503,2017,710.0,135.0,19.014084,190.0,26.760563,375.0,52.816902,425.0,59.859154,285.0,40.140846
1400000US06037103102,6037103102,2016,1640.0,290.0,17.682926,495.0,30.182926,745.0,45.42683,1010.0,61.585365,630.0,38.414635
1400000US06037603007,6037603007,2014,1386.0,368.0,26.551226,642.0,46.320347,892.0,64.357864,1048.0,75.613274,339.0,24.458874
1400000US06037501503,6037501503,2016,1870.0,250.0,13.368984,550.0,29.411764,1030.0,55.080215,1250.0,66.844917,620.0,33.155079
1400000US06037404203,6037404203,2016,729.0,165.0,22.633745,300.0,41.152264,475.0,65.157753,510.0,69.958847,220.0,30.178326
1400000US06037980020,6037980020,2016,,,,,,,,,,,
1400000US06037404806,6037404806,2016,1482.0,275.0,18.556005,680.0,45.883942,1125.0,75.910934,1219.0,82.253708,264.0,17.813765
1400000US06037500203,6037500203,2014,527.0,35.0,6.641366,65.0,12.333966,133.0,25.237192,186.0,35.294117,341.0,64.705879
1400000US06037207902,6037207902,2017,2139.0,488.0,22.8144,589.0,27.536232,763.0,35.670876,868.0,40.579712,1271.0,59.420288
1400000US06037920040,6037920040,2018,994.0,24.0,2.4144869,99.0,9.9597588,274.0,27.565392,404.0,40.643864,590.0,59.356136
1400000US06037920044,6037920044,2013,962.0,14.0,1.4553014,73.0,7.5883574,162.0,16.839916,227.0,23.596674,735.0,76.403328
1400000US06037124203,6037124203,2013,840.0,255.0,30.357143,350.0,41.666668,575.0,68.452377,645.0,76.785713,195.0,23.214285
1400000US06037232110,6037232110,2019,890.0,395.0,44.382023,625.0,70.224716,790.0,88.764046,845.0,94.943817,45.0,5.05618
